"AtcoCode","TiplocCode","CrsCode","StationName","StationNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification",SV0000000000,"Latitude","Longitude"
"9100TROON","TROON","TRN","Troon Rail Station","","U",232560,630880,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NS3256030880,55.542810,-4.6552994
"9100TRURO","TRURO","TRU","Truro Rail Station","","U",181667,44924,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev",SW8166744924,50.263839,-5.0648122
"9100TRWBRDG","TRWBRDG","TRO","Trowbridge Rail Station","","U",385160,157880,"2003-11-04T00:00:00","2007-02-13T17:06:21",4,"rev",ST8516057880,51.319829,-2.2143344
"9100TSDARPR","TSDARPR","TEA","Tees-side Airport Rail Station","","U",437300,513800,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NZ3730013800,54.518131,-1.4253114
"9100TTNHMHL","TTNHMHL","TOM","Tottenham Hale Rail Station","","U",534500,189500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",TQ3450089500,51.588308,-0.059929183
"9100TULLOCH","TULLOCH","TUL","Tulloch Rail Station","","U",235510,780240,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NN3551080240,56.884277,-4.7013210
"9100TULSEH","TULSEH","TUH","Tulse Hill Rail Station","","U",531800,172910,"2003-11-04T00:00:00","2010-05-27T19:04:08",2,"rev",TQ3180072910,51.439859,-0.10507676
"9100TUNWELL","TUNWELL","TBW","Tunbridge Wells Rail Station","","U",558428,139207,"2005-04-21T00:00:00","2007-02-13T17:06:21",3,"rev",TQ5842839207,51.130232,0.26281031
"9100TURKYST","TURKYST","TUR","Turkey Street Rail Station","","U",535130,198900,"2005-04-25T00:00:00","2006-09-18T18:24:34",1,"rev",TQ3513098900,51.672626,-0.047216635
"9100TUTBURY","TUTBURY","TUT","Tutbury & Hatton Rail Station","","U",421490,329675,"2003-11-04T00:00:00","2011-11-03T16:09:31",2,"rev",SK2149029675,52.864134,-1.6822349
"9100TWCKNHM","TWCKNHM","TWI","Twickenham Rail Station","","U",516115,173660,"2003-11-04T00:00:00","2010-05-27T19:04:08",2,"rev",TQ1611573660,51.450029,-0.33039381
"9100TWDBANK","TWDBANK","TWB","Tweedbank Rail Station","","U",352246,634943,"2015-03-31T11:04:00","2015-03-31T11:04:00",1,"rev",NT5224634943,55.605740,-2.7595311
"9100TWYFORD","TWYFORD","TWY","Twyford Rail Station","","U",479042,175787,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",SU7904275787,51.475532,-0.86329259
"9100TYCROES","TYCROES","TYC","Ty Croes Rail Station","","U",234882,372360,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SH3488272360,53.222556,-4.4747327
"9100TYGLAS","TYGLAS","TGS","Ty Glas Rail Station","","U",317080,180970,"2005-04-04T00:00:00","2006-09-18T18:24:34",1,"rev",ST1708080970,51.521537,-3.1965341
"9100TYGWYN","TYGWYN","TYG","Tygwyn Rail Station","","U",260260,334950,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SH6026034950,52.893784,-4.0786546
"9100TYNDRML","TYNDRML","TYL","Tyndrum Lower Rail Station","","U",232700,730100,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NN3270030100,56.433341,-4.7148209
"9100TYNDRMU","TYNDRMU","UTY","Upper Tyndrum Rail Station","","U",233390,730220,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",NN3339030220,56.434662,-4.7037213
"9100TYSL","TYSL","TYS","Tyseley Rail Station","","U",411030,284030,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",SP1103084030,52.454115,-1.8391160
"9100TYWYN","TYWYN","TYW","Tywyn Rail Station","","U",258260,300700,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SH5826000700,52.585574,-4.0935591
"9100UCKFILD","UCKFILD","UCK","Uckfield Rail Station","","U",547295,120905,"2005-04-21T00:00:00","2010-12-20T15:37:54",4,"rev",TQ4729520905,50.968737,0.096380889
"9100UDNGSTN","UDNGSTN","UDD","Uddingston Rail Station","","U",269370,660890,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev",NS6937060890,55.823526,-4.0866976
"9100UHALIFD","UHALIFD","UPH","Upper Halliford Rail Station","","U",509219,169395,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ0921969395,51.413066,-0.43090578
"9100ULCEBY","ULCEBY","ULC","Ulceby Rail Station","","U",512490,414970,"2003-11-04T00:00:00","2011-05-23T18:36:02",2,"rev",TA1249014970,53.619199,-0.30082676
"9100ULESKLF","ULESKLF","ULL","Ulleskelf Rail Station","","U",451803,439995,"2003-11-04T00:00:00","2007-10-08T15:47:32",2,"rev",SE5180339995,53.853610,-1.2139721
"9100ULVRSTN","ULVRSTN","ULV","Ulverston Rail Station","","U",328460,477870,"2005-03-18T00:00:00","2007-02-13T17:06:21",3,"rev",SD2846077870,54.191583,-3.0979151
"9100UMBRLGH","UMBRLGH","UMB","Umberleigh Rail Station","","U",260950,123800,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SS6095023800,50.996746,-3.9828869
"9100UNVRSYB","UNVRSYB","UNI","University Rail Station","","U",404400,283700,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SP0440083700,52.451240,-1.9366837
"9100UPHALL","UPHALL","UHA","Uphall Rail Station","","U",306220,670570,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NT0622070570,55.919041,-3.5021194
"9100UPHOLND","UPHOLND","UPL","Upholland Rail Station","","U",350950,403780,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SD5095003780,53.528378,-2.7414049
"9100UPMNSP6","UPMNSP6","UPM","Upminster Rail Station","","U",556130,186870,"2003-11-04T00:00:00","2010-05-27T19:04:08",2,"rev",TQ5613086870,51.559106,0.25088392
"9100UPMNSTR","UPMNSTR","UPM","Upminster Rail Station","","U",556130,186860,"2003-11-04T00:00:00","2010-05-27T19:04:08",2,"rev",TQ5613086860,51.559017,0.25087949
"9100UPRHLWY","UPRHLWY","UHL","Upper Holloway Rail Station","","U",529750,186630,"2005-04-25T00:00:00","2010-05-27T19:04:08",2,"rev",TQ2975086630,51.563630,-0.12951308
"9100UPTON","UPTON","UPT","Upton Rail Station","","U",327990,388286,"2003-11-04T00:00:00","2008-11-17T19:06:08",2,"rev",SJ2799088286,53.386486,-3.0841525
"9100UPWEY","UPWEY","UPW","Upwey Rail Station","","U",367140,83280,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SY6714083280,50.648270,-2.4661381
"9100URMSTON","URMSTON","URM","Urmston Rail Station","","U",376600,394670,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SJ7660094670,53.448269,-2.3537965
"9100UTOXETR","UTOXETR","UTT","Uttoxeter Rail Station","","U",409700,333270,"2003-11-04T00:00:00","2010-11-08T17:02:59",2,"rev",SK0970033270,52.896789,-1.8572546
